# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
3671|NGC0337A|11.40|2.1|130.3983|-70.3126|289.5764|-3.6123|1084|1135|1179|3.80|-10.70|-0.72|3| | | |30.28|0.37| |333|"17 -7  7"
3743|NGC0360|26.50|3.8|301.0396|-51.4762|231.7545|-15.0811|2299|2173|2128|-15.87|-20.13|-6.91|3| | | |32.12|0.29| |1290|"50  0  0"
3768|NGC0357|32.00| |131.2334|-69.0186|290.9015|-3.7118|2406|2460|2505|11.52|-30.17|-2.09|4| | | | | |32.55|920|"52  0  0"
3792|LGS3|0.65|0.13|126.7519|-40.8946|318.1259|3.8057|-281|-149|-72|0.48|-0.43|0.04|1|24.06|0.39| | | | |222|"14-12 12"
3844|IC1613|0.75|0.04|129.7880|-60.5591|299.1743|-1.7997|-238|-159|-103|0.37|-0.65|-0.02|1|24.38|0.10| | | | |222|"14-12 12"
3853|PGC003853|11.40|2.1|132.3594|-68.8339|291.1377|-4.0893|1094|1147|1192|4.09|-10.58|-0.81|3| | | |30.28|0.37| |333|"17 -7  7"
3974|UGC00685|4.76|0.24|128.4317|-46.0174|313.3361|1.6063|155|272|344|3.27|-3.46|0.13|1|28.39|0.10| | | | |331|"17  6  6"
3980|NGC0406|19.70|4.1|300.9125|-47.1900|227.3682|-15.7899|1509|1372|1321|-12.83|-13.93|-5.35|3| | | |31.47|0.41| |1034|"55  0  0"
4063|UGC00711|26.70|5.2|131.7955|-60.9343|298.9537|-2.8266|1979|2054|2109|12.89|-23.31|-1.32|3| | | |32.13|0.39| |905|"52  0 12"
4126|NGC0404|2.95|0.15|127.0347|-27.0100|331.8497|6.2505|-35|122|208|2.59|-1.38|0.32|1|27.35|0.10| | | | |224|"14 12 12"
4202|UGC00731|12.00| |126.1402|-13.1491|345.5020|9.4069|639|815|905|11.02|-2.85|1.89|4| | | | | |30.31|327|"17 -2  2"
4266|NGC0423|21.50|4.5|239.7149|-85.1295|268.9402|-11.0765|1580|1556|1566|-0.39|-21.07|-4.13|3| | | |31.66|0.41| |1098|"61-19 18"
4367|NGC0428|14.80|3.0|134.2168|-61.4184|298.6121|-4.0433|1155|1225|1279|7.06|-12.95|-1.04|3| | | |30.85|0.40| |334|"17  0  0"
4524|NGC0448|30.30|3.0|136.5595|-63.8653|296.2533|-5.3151|1917|1978|2029|13.36|-27.09|-2.81|2| | |32.41| | | |921|"52  0  0"
4540|NGC0450|29.10|2.1|136.3297|-63.1049|297.0088|-5.1643|1764|1827|1879|13.16|-25.83|-2.62|3| | | |32.32|0.15| |921|"52  0  0"
4601|AndII|0.66|0.07|128.9185|-29.1611|330.0131|4.2394|-188|-39|46|0.57|-0.33|0.05|2| | |24.07| | | |222|"14-12 12"
4777|NGC0470|26.90|3.2|136.6289|-58.7069|301.4240|-5.0135|2374|2447|2504|13.98|-22.88|-2.35|3| | | |32.15|0.24| |901|"52-12 12"
4785|NGC0473|30.00| |132.7417|-45.7839|314.0492|-1.3161|2137|2247|2317|20.80|-21.50|-0.69|4| | | | | |32.38|922|"52  0  0"
4801|NGC0474|26.90|3.2|136.7977|-58.6824|301.4544|-5.0993|2372|2445|2501|13.99|-22.87|-2.39|3| | | |32.15|0.24| |901|"52-12 12"
4827|UGC00871|26.90|3.2|135.9957|-56.3080|303.7989|-4.4947|2178|2258|2317|14.92|-22.30|-2.11|3| | | |32.15|0.24| |901|"52-12 12"
4862|UGC00882|26.90|3.2|135.9545|-55.5502|304.5545|-4.4096|2330|2412|2472|15.22|-22.10|-2.07|3| | | |32.15|0.24| |901|"52-12 12"
4913|UGC00891|9.00| |134.2769|-49.8007|310.1880|-2.8353|646|744|810|5.96|-7.06|-0.46|4| | | | | |29.83|329|"17 -4  4"
4918|UGC00896|26.90|3.2|135.2937|-52.9698|307.0968|-3.7954|2042|2131|2194|16.20|-21.42|-1.78|3| | | |32.15|0.24| |901|"52-12 12"
4921|NGC0485|26.90|3.2|136.0246|-55.0887|305.0191|-4.4112|2248|2331|2391|15.40|-21.98|-2.07|3| | | |32.15|0.24| |901|"52-12 12"
4946|NGC0488|26.90|3.2|136.8206|-56.7946|303.3461|-4.9845|2272|2349|2408|14.74|-22.40|-2.34|3| | | |32.15|0.24| |901|"52-12 12"
4948|UGC00903|33.30|6.9|133.1302|-44.6774|315.1825|-1.4411|2510|2621|2693|23.59|-23.44|-0.84|3| | | |32.61|0.41| |910|"52  0 12"
4957|NGC0489|26.20|1.7|135.4631|-52.9226|307.1536|-3.8926|2507|2596|2659|15.77|-20.82|-1.78|3| | | |32.09|0.14| |908|"52  0 12"
4979|NGC0493|26.90|3.2|138.9106|-60.9701|299.2099|-6.2703|2343|2408|2461|13.05|-23.35|-2.94|3| | | |32.15|0.24| |901|"52-12 12"
5023|PGC005023|26.90|3.2|135.9851|-53.2172|306.8874|-4.2312|2219|2306|2369|16.11|-21.47|-1.99|3| | | |32.15|0.24| |901|"52-12 12"
5072|PGC005072|30.00| |136.5272|-54.2328|305.8982|-4.6331|2700|2784|2845|17.49|-24.16|-2.42|4| | | | | |32.38|911|"52  0 12"
5094|UGC00941|30.00| |136.9268|-55.0366|305.1106|-4.9225|2727|2808|2869|17.14|-24.39|-2.57|4| | | | | |32.38|902|"52 12 12"
5101|UGC00942|26.90|3.2|137.1096|-55.2889|304.8651|-5.0438|2337|2417|2477|15.32|-22.00|-2.37|3| | | |32.15|0.24| |901|"52-12 12"
5139|NGC0514|28.40|4.2|135.1453|-49.1791|310.8672|-3.3298|2472|2570|2636|18.58|-21.48|-1.65|3| | | |32.27|0.30| |907|"52  0 12"
5193|NGC0520|26.90|3.2|138.6982|-58.0588|302.1327|-6.0619|2166|2238|2294|14.23|-22.67|-2.84|3| | | |32.15|0.24| |901|"52-12 12"
5198|UGC00964|36.80|5.3|137.0767|-54.2377|305.9166|-4.9538|2737|2820|2881|21.51|-29.70|-3.18|3| | | |32.83|0.29| |912|"52  0 12"
5218|NGC0522|41.50|8.6|136.3366|-52.0076|308.1140|-4.3426|2720|2809|2873|25.54|-32.56|-3.14|3| | | |33.09|0.41| |913|"52  0 12"
5222|NGC0524|24.00|2.4|136.5055|-52.4516|307.6785|-4.4815|2416|2504|2567|14.62|-18.93|-1.87|2| | |31.90| | | |908|"52  0 12"
5264|NGC0532|26.20|1.7|136.7980|-52.6939|307.4499|-4.6774|2361|2448|2510|15.87|-20.72|-2.13|3| | | |32.09|0.14| |908|"52  0 12"
5273|UGC00989|30.00| |137.5143|-54.3434|305.8275|-5.2155|2789|2871|2931|17.44|-24.16|-2.72|4| | | | | |32.38|914|"52  0 12"
5341|PGC005341|23.20|1.5|145.9699|-67.3960|292.6387|-9.1344|1959|2000|2043|8.83|-21.17|-3.69|3| | | |31.83|0.14| |895|"52 -7  7"
5345|UGC01014|26.90|3.2|138.4115|-55.5403|304.6554|-5.7960|2132|2210|2269|15.22|-22.03|-2.72|3| | | |32.15|0.24| |901|"52-12 12"
5375|ESO476-010|18.80|2.8|201.9952|-81.8874|273.5677|-13.6334|1604|1584|1599|1.14|-18.23|-4.43|3| | | |31.37|0.30| |923|"52  0  0"
5589|UGC01070|28.30|3.5|130.7316|-21.3132|338.0404|3.8435|2807|2963|3050|26.20|-10.57|1.90|3| | | |32.26|0.25| |1291|"60 -1  1"
5619|NGC0578|18.80|2.8|188.3085|-80.0921|276.4149|-13.9592|1630|1616|1634|2.04|-18.12|-4.53|3| | | |31.37|0.30| |923|"52  0  0"
5638|NGC0573|38.00| |130.8471|-21.0083|338.3583|3.7809|2788|2944|3031|35.26|-13.99|2.51|4| | | | | |32.90|1299|"60  0  0"
5643|IC1711|36.30|4.2|136.2435|-44.6603|315.4457|-3.6394|2808|2913|2983|25.82|-25.42|-2.30|3| | | |32.80|0.24| |917|"52  0 14"
5663|NGC0584|20.10|2.0|149.8055|-67.6333|292.2102|-10.5589|1872|1907|1949|7.48|-18.33|-3.69|2| | |31.52| | | |895|"52 -7  7"
5744|UGC01102|25.00| |141.8350|-56.7561|303.4735|-7.7288|1985|2054|2110|13.85|-20.96|-3.41|4| | | | | |32.02|903|"52-13 12"
5761|UGC01104|9.00| |136.4808|-43.4662|316.6529|-3.7000|684|790|862|6.71|-6.33|-0.60|4| | | | | |29.83|329|"17 -4  4"
5766|NGC0596|21.80|2.2|150.8850|-67.6266|292.1469|-10.9650|1876|1910|1951|8.06|-19.80|-4.14|2| | |31.69| | | |895|"52 -7  7"
5777|NGC0600|23.20|1.5|151.3305|-67.8567|291.8854|-11.0896|1842|1874|1915|8.49|-21.15|-4.47|3| | | |31.83|0.14| |895|"52 -7  7"
5792|UGC01110|28.40|4.2|138.3332|-48.2839|311.9330|-5.3528|2765|2858|2924|18.92|-21.07|-2.65|3| | | |32.27|0.30| |907|"52  0 12"
5818|NGC0598|0.92|0.05|133.6103|-31.3309|328.4673|-0.0899|-180|-45|36|0.78|-0.48|0.00|1|24.82|0.10| | | | |222|"14-12 12"
5849|NGC0613|26.40|5.6|229.0771|-80.2924|269.7006|-16.0232|1474|1437|1444|-0.13|-25.40|-7.29|3| | | |32.11|0.42| |924|"52  0  0"
5892|UGC01133|25.00| |143.0640|-56.7762|303.4441|-8.4020|1968|2035|2090|13.82|-20.93|-3.70|4| | | | | |32.02|903|"52-13 12"
5896|NGC0625|4.00|0.20|273.7051|-73.1274|257.2657|-17.7294|493|419|408|-0.84|-3.72|-1.22|1|28.01|0.10| | | | |235|"14 13 13"
5897|NGC0615|23.20|1.5|152.5471|-67.6662|291.9851|-11.5782|1848|1879|1920|8.52|-21.10|-4.66|3| | | |31.83|0.14| |895|"52 -7  7"
5974|NGC0628|9.00| |138.6170|-45.7054|314.5298|-5.3879|659|756|825|6.46|-6.56|-0.87|4| | | | | |29.83|329|"17 -4  4"
6110|NGC0636|29.80|3.0|155.0643|-67.3608|292.0703|-12.5847|1805|1833|1873|10.92|-26.94|-6.49|2| | |32.37| | | |895|"52 -7  7"
6174|UGC01176|9.00| |139.7229|-45.3725|314.9068|-6.1429|634|730|798|6.49|-6.51|-0.99|4| | | | | |29.83|329|"17 -4  4"
6292|UGC01195|9.00| |141.2634|-47.0710|313.2379|-7.2712|767|856|922|6.28|-6.68|-1.17|4| | | | | |29.83|329|"17 -4  4"
6294|UGC01197|36.30|4.2|139.5914|-42.9066|317.3783|-5.9213|2800|2900|2970|26.57|-24.46|-3.75|3| | | |32.80|0.24| |917|"52  0 14"
6309|UGC01200|9.00| |141.7394|-47.8312|312.4785|-7.6097|808|895|959|6.19|-6.76|-1.22|4| | | | | |29.83|329|"17 -4  4"
6318|NGC0660|9.00| |141.6077|-47.3469|312.9652|-7.5114|856|944|1009|6.25|-6.71|-1.21|4| | | | | |29.83|329|"17 -4  4"
6337|PGC006337|9.00| |139.2011|-41.2485|319.0248|-5.5352|501|605|677|6.95|-6.04|-0.89|4| | | | | |29.83|329|"17 -4  4"
6430|ESO245-005|4.55|0.23|273.0749|-70.2882|255.1383|-19.7396|394|309|294|-1.10|-4.14|-1.54|1|28.29|0.10| | | | |235|"14 13 13"
6513|ESO114-007|25.00| |289.7863|-57.0276|239.1033|-20.0490|2209|2086|2049|-12.23|-20.43|-8.69|4| | | | | |32.02|1289|"50  0  0"
6574|IC1727|8.28|1.10|137.9540|-33.8978|326.3068|-4.0026|339|459|536|6.87|-4.58|-0.58|3| | | |29.59|0.27| |330|"17 -5  5"
6581|NGC0685|16.00| |284.4792|-62.3032|245.3945|-20.3855|1356|1246|1217|-6.30|-13.76|-5.62|4| | | | | |31.04|979|"53  0  0"
6595|NGC0672|8.28|1.10|138.0281|-33.7779|326.4319|-4.0537|421|541|618|6.88|-4.57|-0.59|3| | | |29.59|0.27| |330|"17 -5  5"
6626|PGC006626|27.00|1.7|167.8775|-70.1054|287.7557|-15.9746|1623|1630|1662|7.93|-24.76|-7.44|3| | | |32.16|0.13| |897|"52 -9  7"
6656|NGC0676|21.00| |147.8822|-54.1546|305.9509|-11.2694|1508|1570|1626|11.97|-16.51|-4.06|4| | | | | |31.59|900|"52-11 11"
6667|PGC006667|19.30|3.8|164.2361|-68.1720|290.1454|-15.6165|1991|2005|2040|6.41|-17.47|-5.20|3| | | |31.43|0.39| |896|"52 -8  7"
6671|NGC0681|19.30|3.8|164.8345|-68.4629|289.7771|-15.7044|1745|1758|1792|6.29|-17.50|-5.23|3| | | |31.43|0.39| |896|"52 -8  7"
6675|IC0163|30.60|2.8|140.7180|-40.1557|320.1852|-6.6239|2749|2851|2923|23.36|-19.48|-3.53|3| | | |32.43|0.19| |916|"52-15 14"
6676|UGC01198|26.90|5.6|124.2123|22.5331|21.6903|14.5463|1152|1327|1405|24.21|9.63|6.76|3| | | |32.15|0.41| |124|"12 11 11"
6699|UGC01281|5.22|0.26|136.8697|-28.7056|331.3979|-2.5942|163|293|374|4.58|-2.50|-0.24|1|28.59|0.10| | | | |331|"17  6  6"
6706|PGC006706|27.00|1.7|169.4028|-70.2440|287.3768|-16.3675|1720|1725|1756|7.75|-24.76|-7.62|3| | | |32.16|0.13| |897|"52 -9  7"
6719|NGC0680|30.60|2.8|140.4003|-38.9135|321.4214|-6.3170|2800|2905|2978|23.79|-18.98|-3.37|3| | | |32.43|0.19| |916|"52-15 14"
6778|NGC0693|21.00| |148.3371|-53.7870|306.3008|-11.5679|1565|1627|1683|12.06|-16.42|-4.17|4| | | | | |31.59|900|"52-11 11"
6793|NGC0691|30.60|2.8|140.7382|-39.0542|321.2935|-6.5866|2666|2770|2842|23.73|-19.02|-3.51|3| | | |32.43|0.19| |916|"52-15 14"
6826|NGC0701|19.30|3.8|164.6581|-67.6051|290.6224|-15.9851|1836|1850|1885|6.54|-17.38|-5.32|3| | | |31.43|0.39| |896|"52 -8  7"
6830|ESO245-007|0.43|0.02|272.1589|-68.9492|254.2878|-20.8615|56|-34|-51|-0.11|-0.39|-0.15|1|23.17|0.10| | | | |222|"14-12 12"
6983|NGC0720|27.70|2.8|173.0195|-70.3572|286.6304|-17.3618|1722|1722|1751|7.56|-25.30|-8.26|2| | |32.21| | | |897|"52 -9  7"
6993|NGC0718|21.00| |150.7475|-55.3037|304.6022|-12.7916|1733|1787|1841|11.52|-16.69|-4.60|4| | | | | |31.59|900|"52-11 11"
7024|NGC0723|26.40|5.6|202.9075|-75.5434|276.2930|-19.4177|1485|1454|1468|2.73|-24.77|-8.78|3| | | |32.11|0.42| |924|"52  0  0"
7262|NGC0755|19.30|3.8|166.3109|-66.3000|291.5942|-17.1048|1641|1653|1689|6.79|-17.17|-5.68|3| | | |31.43|0.39| |898|"52  0  7"
7324|PGC007324|27.00|1.7|171.1782|-68.2718|288.8573|-17.8782|1860|1863|1895|8.32|-24.35|-8.30|3| | | |32.16|0.13| |897|"52 -9  7"
7399|NGC0746|10.00| |135.1066|-16.3774|343.4754|0.3795|703|852|938|9.63|-2.86|0.07|4| | | | | |30.01|325|"17  1  1"
7517|NGC0770|33.30|6.9|144.3833|-41.0762|319.3270|-9.4284|2440|2532|2600|24.89|-21.39|-5.45|3| | | |32.61|0.41| |915|"52-14 14"
7525|NGC0772|33.30|6.9|144.3904|-41.0177|319.3864|-9.4335|2458|2550|2618|24.91|-21.36|-5.45|3| | | |32.61|0.41| |915|"52-14 14"
7544|NGC0779|18.00|3.5|163.4914|-63.3248|294.9500|-17.1465|1391|1410|1450|7.23|-15.55|-5.29|3| | | |31.27|0.39| |893|"52 -5  5"
7663|UGC01500|33.30|6.9|144.6300|-40.2390|320.1765|-9.6129|2433|2525|2594|25.19|-21.01|-5.56|3| | | |32.61|0.41| |915|"52-14 14"
7671|NGC0784|5.32|0.27|140.9043|-31.5853|328.8060|-6.3067|198|313|390|4.52|-2.74|-0.58|1|28.63|0.10| | | | |331|"17  6  6"
7825|UGC01547|36.00| |144.1703|-37.8476|322.5973|-9.2345|2649|2746|2817|28.08|-21.47|-5.75|4| | | | | |32.77|918|"52  0 14"
7826|UGC01546|33.30|6.9|145.7422|-41.0358|319.3634|-10.4532|2372|2460|2528|24.82|-21.31|-6.04|3| | | |32.61|0.41| |915|"52-14 14"
7841|UGC01551|36.00| |143.3725|-35.9145|324.5394|-8.5544|2672|2774|2847|28.84|-20.55|-5.33|4| | | | | |32.77|918|"52  0 14"
7849|NGC0803|21.00|3.9|147.1702|-43.4117|316.9178|-11.4521|2099|2180|2245|15.02|-14.05|-4.17|3| | | |31.61|0.37| |925|"52  0  0"
7871|UGC01561|9.73|0.60|143.4369|-35.7528|324.7043|-8.6020|595|697|770|7.85|-5.56|-1.45|3| | | |29.94|0.13| |337|"17  0  0"
7900|PGC007900|18.00|3.5|165.9218|-62.7995|295.0279|-18.3641|1364|1380|1418|7.20|-15.43|-5.65|3| | | |31.27|0.39| |893|"52 -5  5"
8160|NGC0821|24.10|2.4|151.5544|-47.5554|312.4522|-14.2174|1753|1817|1876|15.77|-17.24|-5.92|2| | |31.91| | | |926|"52  0  0"
8232|IC0210|27.00|1.7|173.1558|-64.6386|291.7581|-20.3905|1931|1933|1965|9.39|-23.54|-9.42|3| | | |32.16|0.13| |897|"52 -9  7"
8319|NGC0814|27.00|1.7|185.2561|-68.4048|285.4320|-21.9450|1616|1598|1622|6.67|-24.18|-10.10|3| | | |32.16|0.13| |897|"52 -9  7"
8332|UGC01670|14.80|3.1|155.3291|-51.0563|308.5000|-16.1556|1611|1661|1715|8.84|-11.12|-4.12|3| | | |30.85|0.41| |899|"52-10 10"
8397|NGC0853|19.30|3.8|173.4619|-63.9901|292.2815|-20.8358|1564|1565|1598|6.84|-16.71|-6.87|3| | | |31.43|0.39| |898|"52  0  7"
8480|ESO544-027|32.70|4.7|194.5723|-69.7526|281.7597|-23.1050|2483|2453|2472|6.12|-29.41|-12.82|3| | | |32.57|0.29| |888|"51  0  0"
8557|NGC0855|9.73|0.97|144.3898|-31.5288|329.0020|-9.2709|594|699|774|8.23|-4.95|-1.57|2| | |29.94| | | |337|"17  0  0"
8602|ESO544-030|19.00|1.6|197.4997|-69.6988|280.8794|-23.7207|1612|1578|1595|3.28|-17.05|-7.63|3| | | |31.39|0.18| |894|"52 -6  6"
8631|NGC0864|14.80|3.1|157.5501|-51.1337|308.1411|-17.5097|1559|1604|1656|8.71|-11.09|-4.45|3| | | |30.85|0.41| |899|"52-10 10"
8673|IC0217|27.00|1.7|179.6524|-64.9809|289.7949|-22.4922|1890|1880|1909|8.46|-23.51|-10.34|3| | | |32.16|0.13| |897|"52 -9  7"
8678|NGC0865|25.40|5.3|144.6001|-30.6782|329.8692|-9.4245|2995|3101|3175|21.63|-12.56|-4.15|3| | | |32.02|0.41| |919|"52  0 14"
8851|ESO545-002|19.00|1.6|195.4616|-68.2406|282.4370|-24.5205|1608|1575|1593|3.72|-16.85|-7.87|3| | | |31.39|0.18| |894|"52 -6  6"
8862|ESO545-003|19.00|1.6|201.8627|-69.1763|279.7202|-24.9473|1596|1556|1570|2.90|-16.95|-8.00|3| | | |31.39|0.18| |894|"52 -6  6"
8896|ESO545-005|32.70|4.7|197.6994|-68.4065|281.5812|-24.8459|2338|2302|2319|5.95|-29.03|-13.72|3| | | |32.57|0.29| |888|"51  0  0"
8947|UGC01807|9.86|0.61|139.9881|-17.1157|343.2296|-4.3465|631|765|847|9.42|-2.84|-0.75|3| | | |29.97|0.13| |324|"17 -1  1"
8974|NGC0895|28.00| |171.7718|-59.5474|296.8716|-22.3032|2289|2295|2332|11.57|-22.84|-10.50|4| | | | | |32.21|875|"51  0  0"
8990|NGC0899|19.00|1.6|200.8295|-68.4359|280.4762|-25.4160|1563|1523|1538|3.11|-16.85|-8.14|3| | | |31.39|0.18| |894|"52 -6  6"
8998|IC0223|19.00|1.6|200.6636|-68.3793|280.5659|-25.4352|1585|1545|1560|3.14|-16.84|-8.15|3| | | |31.39|0.18| |894|"52 -6  6"
9028|UGC01839|23.10|1.5|166.2158|-55.6410|302.0194|-21.1926|1527|1547|1590|11.43|-18.28|-8.36|3| | | |31.82|0.14| |891|"52 -3  1"
9031|NGC0891|9.91|0.50|140.3852|-17.4165|342.9637|-4.7515|528|660|742|9.44|-2.89|-0.82|1|29.98|0.10| | | | |324|"17 -1  1"
9054|NGC0907|19.00|1.6|200.8182|-68.1420|280.6406|-25.6698|1726|1686|1701|3.16|-16.80|-8.22|3| | | |31.39|0.18| |894|"52 -6  6"
9057|NGC0908|19.00|1.6|202.1393|-68.3224|280.0677|-25.7477|1497|1455|1469|2.99|-16.82|-8.24|3| | | |31.39|0.18| |894|"52 -6  6"
9126|UGC01862|23.10|1.5|168.6133|-56.5507|300.5693|-22.0864|1384|1399|1439|10.89|-18.45|-8.69|3| | | |31.82|0.14| |891|"52 -3  1"
9168|UGC01865|9.86|0.61|143.3583|-23.0951|337.4801|-7.9646|577|695|773|9.02|-3.74|-1.37|3| | | |29.97|0.13| |324|"17 -1  1"
9236|NGC0918|16.10|3.2|152.1601|-38.9582|321.2655|-15.4569|1509|1583|1647|12.14|-9.74|-4.30|3| | | |31.04|0.39| |927|"52  0  0"
9246|ESO545-016|19.00|1.6|203.2292|-67.7486|279.9604|-26.4449|1555|1511|1524|2.94|-16.73|-8.45|3| | | |31.39|0.18| |894|"52 -6  6"
9272|PGC009272|19.20|4.0|179.7598|-61.7257|292.6072|-24.4788|2090|2080|2110|6.73|-16.16|-7.97|3| | | |31.42|0.41| |876|"51  0  0"
9273|ESO479-004|19.00|1.6|210.6889|-68.4632|276.7838|-26.8662|1515|1462|1471|2.00|-16.80|-8.57|3| | | |31.39|0.18| |894|"52 -6  6"
9332|NGC0925|9.16|0.92|144.8854|-25.1744|335.4544|-9.4668|553|664|741|8.22|-3.76|-1.51|2| | |29.81| | | |324|"17 -1  1"
9354|PGC009354|19.20|4.0|180.6818|-61.7141|292.3301|-24.8360|2069|2057|2087|6.63|-16.14|-8.08|3| | | |31.42|0.41| |876|"51  0  0"
9359|NGC0936|23.00|2.3|168.5770|-55.2628|301.8574|-22.5759|1340|1355|1397|11.21|-18.05|-8.84|2| | |31.81| | | |891|"52 -3  1"
9414|NGC0941|23.10|1.5|168.8520|-55.1263|301.9267|-22.7737|1607|1622|1663|11.27|-18.09|-8.95|3| | | |31.82|0.14| |891|"52 -3  1"
9447|UGC01958|24.70|5.1|147.7841|-29.9772|330.6342|-12.1593|1021|1118|1190|21.01|-11.82|-5.19|3| | | |31.96|0.41| |328|"17 -3  3"
9485|PGC009485|33.00| |171.6114|-56.5112|299.8532|-23.6027|2474|2482|2520|15.24|-26.56|-13.38|4| | | | | |32.62|873|"51 15 15"
9510|UGC01970|31.50|4.3|149.4597|-32.4938|328.0429|-13.5750|1915|2004|2074|25.96|-16.20|-7.39|3| | | |32.49|0.28| |932|"52  0  0"
9549|NGC0955|23.10|1.5|169.5023|-54.7601|302.1308|-23.2620|1487|1501|1542|11.30|-17.99|-9.13|3| | | |31.82|0.14| |891|"52 -3  1"
9559|PGC009559|23.10|1.5|172.7282|-56.7570|299.3102|-24.0397|1627|1632|1670|10.34|-18.41|-9.42|3| | | |31.82|0.14| |891|"52 -3  1"
9566|NGC0949|11.30|1.1|144.0510|-21.6261|339.0009|-8.5148|611|728|807|10.41|-4.00|-1.67|2| | |30.26| | | |324|"17 -1  1"
9665|NGC0959|9.86|0.61|145.0889|-22.9958|337.6698|-9.5491|597|710|787|9.00|-3.70|-1.64|3| | | |29.97|0.13| |324|"17 -1  1"
9702|UGC02014|9.86|0.61|143.7860|-20.0476|340.5773|-8.1679|570|690|768|9.21|-3.25|-1.40|3| | | |29.97|0.13| |324|"17 -1  1"
9705|UGC02017|24.70|5.1|148.3005|-28.9924|331.6449|-12.6035|1019|1116|1188|21.18|-11.43|-5.38|3| | | |31.96|0.41| |328|"17 -3  3"
9726|UGC02023|9.86|0.61|146.1872|-24.7401|335.9441|-10.6283|611|719|794|8.85|-3.95|-1.82|3| | | |29.97|0.13| |324|"17 -1  1"
9747|NGC0986|23.00| |248.6928|-65.6364|260.1407|-28.8312|2004|1907|1893|-3.47|-19.96|-11.15|4| | | | | |31.82|877|"51  0  0"
9759|UGC02034|9.86|0.61|143.1452|-18.2944|342.2999|-7.4415|581|704|784|9.32|-2.97|-1.28|3| | | |29.97|0.13| |324|"17 -1  1"
9788|NGC0972|21.70|3.1|148.3954|-28.4290|332.2227|-12.6835|1542|1639|1711|18.71|-9.86|-4.76|3| | | |31.68|0.29| |928|"52  0  0"
9808|UGC02053|24.70|5.1|148.2359|-28.0095|332.6515|-12.5396|1034|1132|1205|21.38|-11.06|-5.35|3| | | |31.96|0.41| |328|"17 -3  3"
9843|NGC0988|17.30|1.1|181.9612|-59.6959|293.6864|-26.5597|1504|1489|1519|6.21|-14.17|-7.73|3| | | |31.19|0.13| |889|"52 -1  1"
9846|NGC0991|17.30|1.1|178.7478|-58.2449|296.0795|-26.0641|1532|1524|1556|6.83|-13.96|-7.60|3| | | |31.19|0.13| |889|"52 -1  1"
9888|UGC02082|14.70|2.6|150.8869|-31.6957|328.8354|-14.8032|707|793|862|12.12|-7.33|-3.74|3| | | |30.83|0.36| |338|"17  0  0"
9892|Maffei1|4.17|0.42|135.8620|-0.5510|359.2861|1.4380|13|168|252|4.17|-0.05|0.10|2| | |28.10| | | |221|"14-11 11"
9899|IC0239|10.00| |144.3321|-19.4990|341.1646|-8.6449|903|1021|1100|9.40|-3.21|-1.51|4| | | | | |30.01|326|"17  1  1"
9962|ESO115-021|5.06|0.25|282.7932|-51.4272|235.1804|-25.9611|511|366|321|-2.60|-3.73|-2.22|1|28.52|0.10| | | | |236|"14-14 14"
9988|NGC1015|33.00| |172.1885|-53.6539|302.5147|-25.1510|2631|2639|2678|16.26|-25.51|-14.20|4| | | | | |32.62|873|"51 15 15"
9991|NGC1034|21.50|1.8|193.8560|-62.7788|286.6996|-28.4865|1472|1436|1456|5.42|-18.08|-10.24|3| | | |31.66|0.17| |857|"51  0  4"
